pid,name,username,num_ctx_switches,memory_info,cpu_percent,memory_percent,nice,create_time,utime,stime,cutime,cstime
289,mDNSResponder,_mdnsresponder,"pctxsw(voluntary=140320876558743, involuntary=0)","pmem(rss=10170368, vms=34507939840, pfaults=33085, pageins=157)",0.0,0.11839866638183594,0,1681319938.171975,1.271312128,0.926003648,0.0,0.0
290,mDNSResponderHelper,root,"pctxsw(voluntary=140320876529143, involuntary=0)","pmem(rss=4161536, vms=34497683456, pfaults=5251, pageins=2)",0.0,0.0484466552734375,0,1681319938.617125,0.203363664,0.043836176,0.0,0.0
291,findmydeviced,root,"pctxsw(voluntary=140320876529108, involuntary=0)","pmem(rss=12267520, vms=34510876672, pfaults=4793, pageins=106)",0.0,0.14281272888183594,0,1681319938.707388,0.081296792,0.089331248,0.0,0.0
292,backupd,root,"pctxsw(voluntary=140320876527970, involuntary=0)","pmem(rss=3588096, vms=34468003840, pfaults=1710, pageins=59)",0.0,0.04177093505859375,0,1681319938.747677,0.013565743,0.035647644,0.0,0.0
293,FindMyMacd,root,"pctxsw(voluntary=140320876527726, involuntary=0)","pmem(rss=1634304, vms=34457677824, pfaults=1102, pageins=6)",0.0,0.019025802612304688,0,1681319938.795948,0.007322617,0.012500445,0.0,0.0
294,AudioComponentRegistrar,root,"pctxsw(voluntary=140320876528012, involuntary=0)","pmem(rss=3469312, vms=34466500608, pfaults=2393, pageins=10)",0.0,0.04038810729980469,0,1681319938.821409,0.056319332,0.028829902,0.0,0.0
296,com.apple.audio.SandboxHelper,_coreaudiod,"pctxsw(voluntary=140320876527682, involuntary=0)","pmem(rss=2543616, vms=34460479488, pfaults=2048, pageins=2)",0.0,0.029611587524414062,0,1681319938.913831,0.0401231,0.015348735,0.0,0.0
297,com.apple.audio.DriverHelper,_coreaudiod,"pctxsw(voluntary=140320876527710, involuntary=0)","pmem(rss=1257472, vms=34466422784, pfaults=1056, pageins=2)",0.0,0.014638900756835938,0,1681319939.022376,0.007527157,0.012396494,0.0,0.0
298,audioclocksyncd,root,"pctxsw(voluntary=140320876532581, involuntary=0)","pmem(rss=1970176, vms=34972545024, pfaults=1877, pageins=26)",0.0,0.022935867309570312,0,1681319939.089708,0.125738888,0.111510864,0.0,0.0
299,WiFiCloudAssetsXPCService,root,"pctxsw(voluntary=140320876527808, involuntary=0)","pmem(rss=4481024, vms=34466701312, pfaults=1953, pageins=14)",0.0,0.052165985107421875,0,1681319939.132681,0.014409895,0.018320168,0.0,0.0
300,com.apple.geod,_locationd,"pctxsw(voluntary=140320876530616, involuntary=0)","pmem(rss=10096640, vms=34505625600, pfaults=5564, pageins=420)",0.0,0.11754035949707031,0,1681319939.184112,0.125916784,0.33591856,0.0,0.0
301,distnoted,_locationd,"pctxsw(voluntary=140320876528426, involuntary=0)","pmem(rss=1220608, vms=34437611520, pfaults=1589, pageins=4)",0.0,0.014209747314453125,0,1681319939.192129,0.04184238,0.019935068,0.0,0.0
302,secinitd,_locationd,"pctxsw(voluntary=140320876527942, involuntary=0)","pmem(rss=2768896, vms=34497904640, pfaults=2314, pageins=6)",0.0,0.03223419189453125,0,1681319939.252916,0.042680408,0.023588808,0.0,0.0
303,cfprefsd,_locationd,"pctxsw(voluntary=140320876527970, involuntary=0)","pmem(rss=1212416, vms=34466443264, pfaults=1723, pageins=2)",0.0,0.0141143798828125,0,1681319939.366265,0.044675604,0.015220076,0.0,0.0
304,trustd,_locationd,"pctxsw(voluntary=140320876528922, involuntary=0)","pmem(rss=4272128, vms=34500554752, pfaults=3344, pageins=17)",0.0,0.04973411560058594,0,1681319939.396362,0.14832568,0.047434248,0.0,0.0
305,sysextd,root,"pctxsw(voluntary=140320876528086, involuntary=0)","pmem(rss=2904064, vms=34498703360, pfaults=2376, pageins=20)",0.0,0.03380775451660156,0,1681319939.514496,0.051043064,0.029876624,0.0,0.0
306,distnoted,_cmiodalassistants,"pctxsw(voluntary=140320876528369, involuntary=0)","pmem(rss=1114112, vms=34437611520, pfaults=1570, pageins=4)",0.0,0.012969970703125,0,1681319939.526574,0.0396544,0.018190884,0.0,0.0
307,containermanagerd,_locationd,"pctxsw(voluntary=140320876527899, involuntary=0)","pmem(rss=2228224, vms=34496909312, pfaults=2113, pageins=3)",0.0,0.02593994140625,0,1681319939.559604,0.04969526,0.015750033,0.0,0.0
308,softwareupdated,_softwareupdate,"pctxsw(voluntary=140320876529436, involuntary=0)","pmem(rss=8773632, vms=34522480640, pfaults=5923, pageins=343)",0.0,0.10213851928710938,0,1681319939.73645,0.237890976,0.247961088,0.0,0.0
309,systemstatusd,root,"pctxsw(voluntary=140320876528150, involuntary=0)","pmem(rss=3858432, vms=34496372736, pfaults=2644, pageins=12)",0.0,0.044918060302734375,0,1681319939.79969,0.052305668,0.027164844,0.0,0.0
310,com.apple.CodeSigningHelper,root,"pctxsw(voluntary=140320876528716, involuntary=0)","pmem(rss=2650112, vms=34467500032, pfaults=2557, pageins=2)",0.0,0.030851364135742188,0,1681319939.998557,0.095234056,0.120244216,0.0,0.0
311,locationd,_locationd,"pctxsw(voluntary=140320876543873, involuntary=0)","pmem(rss=17534976, vms=34519375872, pfaults=11522, pageins=2211)",0.0,0.2041339874267578,0,1681319940.05692,1.06988608,0.615616,0.0,0.0
313,UVCAssistant,_cmiodalassistants,"pctxsw(voluntary=140320876528198, involuntary=0)","pmem(rss=3735552, vms=34499657728, pfaults=2778, pageins=26)",0.0,0.043487548828125,0,1681319940.06928,0.05122752,0.036909736,0.0,0.0
314,mds_stores,root,"pctxsw(voluntary=140320876608635, involuntary=0)","pmem(rss=78364672, vms=36789481472, pfaults=209387, pageins=10933)",0.0,0.9122848510742188,0,1681319940.276643,5.1583872,6.079123968,0.0,0.0
315,searchpartyd,root,"pctxsw(voluntary=140320876547617, involuntary=0)","pmem(rss=14479360, vms=34525827072, pfaults=11120, pageins=470)",0.0,0.1685619354248047,0,1681319940.35898,1.28725376,0.619331968,0.0,0.0
316,distnoted,_nsurlsessiond,"pctxsw(voluntary=140320876528160, involuntary=0)","pmem(rss=1122304, vms=34437611520, pfaults=1566, pageins=4)",0.0,0.013065338134765625,0,1681319940.433793,0.038694884,0.01714694,0.0,0.0
317,distnoted,_softwareupdate,"pctxsw(voluntary=140320876528126, involuntary=0)","pmem(rss=1114112, vms=34437611520, pfaults=1566, pageins=4)",0.0,0.012969970703125,0,1681319940.593889,0.038481736,0.016965736,0.0,0.0
318,suhelperd,root,"pctxsw(voluntary=140320876527726, involuntary=0)","pmem(rss=3940352, vms=34466590720, pfaults=1762, pageins=9)",0.0,0.045871734619140625,0,1681319940.606468,0.011710072,0.013690413,0.0,0.0
319,cron,root,"pctxsw(voluntary=140320876527714, involuntary=0)","pmem(rss=929792, vms=34431909888, pfaults=875, pageins=2)",0.0,0.010824203491210938,0,1681319940.899124,0.004905549,0.009231348,0.0,0.0
320,rpcsvchost,root,"pctxsw(voluntary=140320876527927, involuntary=0)","pmem(rss=1748992, vms=34473627648, pfaults=1975, pageins=6)",0.0,0.020360946655273438,0,1681319941.309802,0.034848936,0.023854094,0.0,0.0
322,com.apple.DriverKit-IOUserDockChannelSerial,_driverkit,"pctxsw(voluntary=140320876527868, involuntary=0)","pmem(rss=516096, vms=34941177856, pfaults=966, pageins=31)",0.0,0.006008148193359375,0,1681319942.380154,0.004482241,0.04314664,0.0,0.0
323,distnoted,_spotlight,"pctxsw(voluntary=140320876528244, involuntary=0)","pmem(rss=1118208, vms=34437611520, pfaults=1574, pageins=4)",0.0,0.013017654418945312,0,1681319942.4169,0.038617992,0.017526996,0.0,0.0
324,thermald,root,"pctxsw(voluntary=140320876528134, involuntary=0)","pmem(rss=2908160, vms=34449158144, pfaults=1398, pageins=4)",0.0,0.033855438232421875,0,1681319942.472597,0.010751541,0.025846356,0.0,0.0
325,hidd,_hidd,"pctxsw(voluntary=140320876528483, involuntary=0)","pmem(rss=1581056, vms=34465918976, pfaults=1111, pageins=2)",0.0,0.018405914306640625,0,1681319942.756618,0.015682348,0.020707092,0.0,0.0
327,distnoted,_windowserver,"pctxsw(voluntary=140320876528126, involuntary=0)","pmem(rss=1118208, vms=34437611520, pfaults=1567, pageins=4)",0.0,0.013017654418945312,0,1681319942.775371,0.038114468,0.016512731,0.0,0.0
328,secinitd,root,"pctxsw(voluntary=140320876527970, involuntary=0)","pmem(rss=2777088, vms=34497888256, pfaults=2253, pageins=3)",0.0,0.032329559326171875,0,1681319942.825772,0.042771768,0.01958125,0.0,0.0
329,wifianalyticsd,root,"pctxsw(voluntary=140320876530116, involuntary=0)","pmem(rss=8732672, vms=34499125248, pfaults=7832, pageins=39)",0.0,0.10166168212890625,0,1681319943.153827,0.229661024,0.096999904,0.0,0.0
333,backgroundtaskmanagementd,root,"pctxsw(voluntary=140320876528896, involuntary=0)","pmem(rss=4112384, vms=34505654272, pfaults=2975, pageins=14)",0.0,0.04787445068359375,0,1681319943.611122,0.097528608,0.066107792,0.0,0.0
336,BlueTool,root,"pctxsw(voluntary=140320876527797, involuntary=0)","pmem(rss=1961984, vms=34496618496, pfaults=1217, pageins=6)",0.0,0.022840499877929688,0,1681319945.156588,0.007913551,0.017687214,0.0,0.0
338,colorsync.displayservices,root,"pctxsw(voluntary=140320876528077, involuntary=0)","pmem(rss=2211840, vms=34465955840, pfaults=1376, pageins=3)",0.0,0.02574920654296875,0,1681319945.267665,0.02091558,0.016819948,0.0,0.0
340,com.apple.ColorSyncXPCAgent,root,"pctxsw(voluntary=140320876527716, involuntary=0)","pmem(rss=1515520, vms=34466439168, pfaults=1057, pageins=2)",0.0,0.017642974853515625,0,1681319945.299768,0.006351405,0.009358062,0.0,0.0
342,colorsyncd,root,"pctxsw(voluntary=140320876527856, involuntary=0)","pmem(rss=1986560, vms=34465906688, pfaults=1838, pageins=2)",0.0,0.023126602172851562,0,1681319945.326691,0.032887356,0.016224636,0.0,0.0
