pid,name,username,cpu_percent,memory_percent
9809,,root,,
9851,,root,,
9896,,root,,
9942,,root,,
9992,,root,,
10055,,root,,
10153,,root,,
10198,,root,,
10243,,root,,
10288,,root,,
10333,,root,,
10378,,root,,
10423,,root,,
10477,,root,,
10529,,root,,
10575,,root,,
10623,,root,,
10671,,root,,
10716,,root,,
10761,,root,,
10808,,root,,
10858,,root,,
10903,,root,,
10999,,root,,
11072,,root,,
11112,,root,,
11157,,root,,
11202,,root,,
11247,,root,,
11300,,root,,
11346,,root,,
11417,,root,,
11473,,root,,
11508,CallHistorySyncHelper,jachian,0.0,0.09107589721679688
11526,,root,,
11619,,root,,
11665,,root,,
11710,,root,,
11755,,root,,
11800,,root,,
11888,,root,,
11934,,root,,
11979,,root,,
12024,,root,,
12069,,root,,
12151,,root,,
12199,,root,,
12243,,root,,
12329,,root,,
12421,,root,,
12440,MTLCompilerService,jachian,0.0,0.12040138244628906
12493,,root,,
12581,,root,,
12626,,root,,
12706,,root,,
12759,,root,,
12805,,root,,
12850,,root,,
12938,,root,,
13022,,root,,
13106,,root,,
13190,,root,,
13277,,root,,
13365,,root,,
13454,,root,,
13542,,root,,
13630,,root,,
13683,,root,,
13764,,root,,
13852,,root,,
13939,,root,,
14027,,root,,
14178,,root,,
14234,,root,,
14390,,root,,
14558,,root,,
14618,,root,,
14715,,root,,
14790,,root,,
14837,,root,,
14882,,root,,
14927,,root,,
14972,,root,,
15017,,root,,
15063,,root,,
15155,,root,,
15257,,root,,
15348,,root,,
15435,,root,,
15501,,root,,
15546,,root,,
15641,,root,,
15687,,root,,
15732,,root,,
15796,,root,,
15889,,root,,
15956,,root,,
16034,,root,,
16081,,root,,
16153,,root,,
16200,,root,,
16242,,root,,
16307,,root,,
16371,,root,,
16374,Code Helper (Plugin),jachian,0.0,0.337982177734375
16395,Python,jachian,0.0,0.10280609130859375
16427,Python,jachian,0.0,0.020599365234375
16440,Code Helper (Plugin),jachian,0.0,1.3345718383789062
16463,,root,,
16535,,root,,
16629,,root,,
16705,,root,,
16756,,root,,
16805,,root,,
16857,,root,,
16905,,root,,
16952,,root,,
17059,,root,,
17127,,root,,
17200,,root,,
17262,,root,,
17307,,root,,
17352,,root,,
17397,,root,,
17443,,root,,
17488,,root,,
17534,,root,,
17579,,root,,
17624,,root,,
17669,,root,,
17709,,root,,
17754,,root,,
17799,,root,,
17844,,root,,
17889,,root,,
17934,,root,,
17979,,root,,
18024,,root,,
18069,,root,,
18114,,root,,
18159,,root,,
18204,,root,,
18258,,root,,
18303,,root,,
18348,,root,,
18393,,root,,
18438,,root,,
18483,,root,,
18528,,root,,
18573,,root,,
18620,,root,,
18665,,root,,
18710,,root,,
18755,,root,,
18801,,root,,
18841,,root,,
18889,,root,,
18956,,root,,
19001,,root,,
19050,,root,,
19095,,root,,
19140,,root,,
19247,,root,,
