pid,name,username,cpu_percent,memory_info,memory_percent,nice,num_ctx_switches,create_time,utime,stime,cutime,cstime
7545,QuickLookSatellite,jachian,0.0,"pmem(rss=13266944, vms=39165644800, pfaults=251218, pageins=3921)",0.1544475555419922,0,"pctxsw(voluntary=140333761542059, involuntary=0)",1681145325.100868,15.782468608,2.514021376,0.0,0.0
7594,com.apple.WebKit.WebContent,jachian,0.0,"pmem(rss=23302144, vms=126397796352, pfaults=779194, pageins=1500)",0.2712726593017578,0,"pctxsw(voluntary=140333761621559, involuntary=0)",1681145335.668707,15.82383616,8.516807168,0.0,0.0
7641,PlugInLibraryService,jachian,0.0,"pmem(rss=1003520, vms=34466521088, pfaults=1454, pageins=21)",0.011682510375976562,0,"pctxsw(voluntary=140333761429725, involuntary=0)",1681145347.542916,0.00653574,0.022637244,0.0,0.0
7642,ThumbnailExtension_macOS,jachian,0.0,"pmem(rss=9506816, vms=34533326848, pfaults=10191, pageins=26)",0.11067390441894531,0,"pctxsw(voluntary=140333761431934, involuntary=0)",1681145347.634538,0.197804192,0.098438152,0.0,0.0
7643,TextEdit,jachian,0.0,"pmem(rss=17203200, vms=36300976128, pfaults=1900983, pageins=626)",0.2002716064453125,0,"pctxsw(voluntary=140333761540863, involuntary=0)",1681145347.695296,31.00131328,5.249508352,0.0,0.0
7673,mdwrite,jachian,0.0,"pmem(rss=3739648, vms=34499932160, pfaults=4213, pageins=16)",0.04353523254394531,0,"pctxsw(voluntary=140333761430709, involuntary=0)",1681145352.513991,0.049948252,0.066367108,0.0,0.0
7684,com.apple.appkit.xpc.openAndSavePanelService,jachian,0.0,"pmem(rss=13398016, vms=35190616064, pfaults=107235, pageins=245)",0.1559734344482422,0,"pctxsw(voluntary=140333761466267, involuntary=0)",1681145353.973915,1.744234624,1.463517568,0.0,0.0
7685,QuickLookUIService,jachian,0.0,"pmem(rss=8744960, vms=35022147584, pfaults=34322, pageins=9)",0.10180473327636719,0,"pctxsw(voluntary=140333761454398, involuntary=0)",1681145354.172366,0.494214272,0.51081968,0.0,0.0
8577,com.apple.WebKit.WebContent,jachian,0.0,"pmem(rss=67805184, vms=127264100352, pfaults=6346172, pageins=6309)",0.7893562316894531,0,"pctxsw(voluntary=140333762479517, involuntary=0)",1681145544.091308,115.741958144,49.271046144,0.0,0.0
11508,CallHistorySyncHelper,jachian,0.0,"pmem(rss=6684672, vms=34502500352, pfaults=10190, pageins=175)",0.07781982421875,0,"pctxsw(voluntary=140333761432063, involuntary=0)",1681146140.874571,0.181919936,0.216722704,0.0,0.0
12440,MTLCompilerService,jachian,0.0,"pmem(rss=1703936, vms=35025723392, pfaults=8601, pageins=91)",0.01983642578125,0,"pctxsw(voluntary=140333761431472, involuntary=0)",1681146351.564206,0.20767304,0.06999964,0.0,0.0
16374,Code Helper (Plugin),jachian,0.0,"pmem(rss=22761472, vms=84287336448, pfaults=141746, pageins=3351)",0.26497840881347656,0,"pctxsw(voluntary=140333761499756, involuntary=0)",1681147068.598051,3.739369472,1.74194688,0.0,0.0
16395,Python,jachian,0.0,"pmem(rss=8130560, vms=34453778432, pfaults=73996, pageins=698)",0.09465217590332031,0,"pctxsw(voluntary=140333761512992, involuntary=0)",1681147069.422063,5.209271808,1.449992064,0.0,0.0
16427,Python,jachian,0.0,"pmem(rss=798720, vms=34392576000, pfaults=4863, pageins=55)",0.009298324584960938,0,"pctxsw(voluntary=140333761429987, involuntary=0)",1681147071.436894,0.133709904,0.043937832,0.0,0.0
16440,Code Helper (Plugin),jachian,0.0,"pmem(rss=223567872, vms=84347928576, pfaults=1748195, pageins=481)",2.602672576904297,0,"pctxsw(voluntary=140333761923075, involuntary=0)",1681147074.331821,146.260508672,14.80423424,0.0,0.0
19248,DropboxFileProvider,jachian,0.0,"pmem(rss=16539648, vms=34630897664, pfaults=87747, pageins=5817)",0.19254684448242188,0,"pctxsw(voluntary=140333761843291, involuntary=0)",1681147622.526683,20.01900544,6.592016896,0.0,0.0
19250,DropboxFileProviderCH,jachian,0.0,"pmem(rss=1896448, vms=34468175872, pfaults=4616, pageins=5)",0.022077560424804688,0,"pctxsw(voluntary=140333761429779, involuntary=0)",1681147622.720589,0.019757816,0.050600772,0.0,0.0
19410,ShipIt,jachian,0.0,"pmem(rss=3186688, vms=35001692160, pfaults=2039, pageins=20)",0.037097930908203125,-1,"pctxsw(voluntary=140333761429733, involuntary=0)",1681147646.622273,0.013262713,0.019230744,0.0,0.0
19433,Code Helper (Plugin),jachian,0.0,"pmem(rss=13049856, vms=73496350720, pfaults=53940, pageins=96)",0.15192031860351562,0,"pctxsw(voluntary=140333761473575, involuntary=0)",1681147655.57073,2.487274752,0.948884928,0.0,0.0
20117,Code Helper (Plugin),jachian,0.0,"pmem(rss=14336000, vms=73496653824, pfaults=57535, pageins=21)",0.16689300537109375,0,"pctxsw(voluntary=140333761461265, involuntary=0)",1681147788.277803,1.543329024,0.696472448,0.0,0.0
21145,PowerChime,jachian,0.0,"pmem(rss=7917568, vms=34563801088, pfaults=33580, pageins=64)",0.09217262268066406,0,"pctxsw(voluntary=140333761442506, involuntary=0)",1681148211.932243,0.301678016,0.394213344,0.0,0.0
21146,AquaAppearanceHelper,jachian,0.0,"pmem(rss=6692864, vms=35026923520, pfaults=20955, pageins=20)",0.07791519165039062,0,"pctxsw(voluntary=140333761438255, involuntary=0)",1681148212.050534,0.215080176,0.258553344,0.0,0.0
23289,ASPCarryLog,root,0.0,"pmem(rss=3620864, vms=34498494464, pfaults=3124, pageins=26)",0.04215240478515625,0,"pctxsw(voluntary=140333761430168, involuntary=0)",1681149962.035839,0.038172904,0.044374736,0.0,0.0
23291,backgroundassets.user,jachian,0.0,"pmem(rss=4341760, vms=34496794624, pfaults=7475, pageins=41)",0.05054473876953125,0,"pctxsw(voluntary=140333761431132, involuntary=0)",1681149962.048586,0.036290748,0.093185688,0.0,0.0
23293,mapspushd,jachian,0.0,"pmem(rss=8720384, vms=34499170304, pfaults=63684, pageins=325)",0.10151863098144531,0,"pctxsw(voluntary=140333761451080, involuntary=0)",1681149964.537712,2.107772544,1.125221888,0.0,0.0
23651,com.apple.WebKit.WebContent,jachian,0.0,"pmem(rss=12189696, vms=126202662912, pfaults=65853, pageins=306)",0.14190673828125,0,"pctxsw(voluntary=140333761443297, involuntary=0)",1681150217.810991,0.834431296,0.541532096,0.0,0.0
24716,tipsd,jachian,0.0,"pmem(rss=8056832, vms=34506170368, pfaults=25612, pageins=515)",0.09379386901855469,0,"pctxsw(voluntary=140333761443957, involuntary=0)",1681151159.048873,0.518114656,0.673702016,0.0,0.0
24726,dprivacyd,root,0.0,"pmem(rss=3829760, vms=34502172672, pfaults=4133, pageins=41)",0.04458427429199219,0,"pctxsw(voluntary=140333761430949, involuntary=0)",1681151170.141683,0.101799032,0.079624432,0.0,0.0
24798,appleaccountd,jachian,0.0,"pmem(rss=6549504, vms=34504015872, pfaults=7976, pageins=226)",0.07624626159667969,0,"pctxsw(voluntary=140333761432329, involuntary=0)",1681151232.347067,0.139056752,0.24068328,0.0,0.0
24841,localizationswitcherd,jachian,0.0,"pmem(rss=3289088, vms=34497056768, pfaults=1985, pageins=25)",0.03829002380371094,0,"pctxsw(voluntary=140333761429761, involuntary=0)",1681151263.298944,0.013382731,0.025495008,0.0,0.0
24844,AssetCacheLocatorService,_assetcache,0.0,"pmem(rss=3751936, vms=34501742592, pfaults=7876, pageins=23)",0.04367828369140625,0,"pctxsw(voluntary=140333761434037, involuntary=0)",1681151265.514075,0.166116192,0.21131888,0.0,0.0
25122,sysdiagnose,root,0.0,"pmem(rss=2809856, vms=34498420736, pfaults=2051, pageins=41)",0.032711029052734375,0,"pctxsw(voluntary=140333761429712, involuntary=0)",1681151436.799978,0.013741712,0.042891992,0.0,0.0
25370,media-indexer,jachian,0.0,"pmem(rss=6381568, vms=34525433856, pfaults=47203, pageins=1448)",0.07429122924804688,0,"pctxsw(voluntary=140333761439893, involuntary=0)",1681151678.609101,1.581218176,1.509986048,0.0,0.0
25371,AMPLibraryAgent,jachian,0.0,"pmem(rss=11145216, vms=34547781632, pfaults=119187, pageins=407)",0.1297473907470703,0,"pctxsw(voluntary=140333761447887, involuntary=0)",1681151679.115881,1.121715968,1.277423104,0.0,0.0
25372,PodcastContentService,jachian,0.0,"pmem(rss=4509696, vms=34498539520, pfaults=2764, pageins=78)",0.05249977111816406,0,"pctxsw(voluntary=140333761430328, involuntary=0)",1681151681.128914,0.0315336,0.087293472,0.0,0.0
25373,com.apple.BKAgentService,jachian,0.0,"pmem(rss=6008832, vms=34507874304, pfaults=5711, pageins=85)",0.06995201110839844,0,"pctxsw(voluntary=140333761431018, involuntary=0)",1681151681.416873,0.109282512,0.144102208,0.0,0.0
26610,com.apple.WebKit.WebContent,jachian,0.0,"pmem(rss=13266944, vms=143889129472, pfaults=672764, pageins=629)",0.1544475555419922,0,"pctxsw(voluntary=140333761586377, involuntary=0)",1681152634.480308,16.584093696,6.093403648,0.0,0.0
26614,com.apple.WebKit.WebContent,jachian,0.0,"pmem(rss=12849152, vms=143486074880, pfaults=113895, pageins=590)",0.1495838165283203,0,"pctxsw(voluntary=140333761476753, involuntary=0)",1681152640.735246,3.283707136,1.629500928,0.0,0.0
29328,com.apple.WebKit.WebContent,jachian,0.0,"pmem(rss=13213696, vms=143836987392, pfaults=588722, pageins=361)",0.15382766723632812,0,"pctxsw(voluntary=140333761558980, involuntary=0)",1681155187.556949,17.174148096,4.679386624,0.0,0.0
29340,com.apple.WebKit.WebContent,jachian,0.0,"pmem(rss=16506880, vms=126772649984, pfaults=335960, pageins=1106)",0.19216537475585938,0,"pctxsw(voluntary=140333761528499, involuntary=0)",1681155198.157027,9.026480128,3.995484672,0.0,0.0
